read_id,n_framework_deviations,has_length_variant_region
d3f29cfb-b69c-43bf-8218-9447d2a5cbc5,1,False
538207f9-9691-430a-9aa6-36b2fc0766e4,0,True
3cadad4c-fd7f-4b92-ab30-f4f32126a90d,1,True
9e6e4f5a-3d13-4e1e-a839-aa25ac8bba6d,1,True
fffdffc6-e38c-4f35-8b18-1d4c41e04cdf,1,True
075589fc-21c3-46e0-8fd9-bc8bfc9cb0d4,1,True
f9b0089c-9217-412c-aa1a-20c29c97dc30,1,True
89476189-b06e-41eb-9eae-17d77ba09cb2,2,False
9bd914d1-c8a9-4d34-aae8-a1129135111d,0,True
d9770142-e0cf-4bd6-9c12-c8f74972678f,3,False
05b266c9-261b-4106-a3b7-34c4082a3402,1,True
9d7d04eb-c5bd-4e30-8f3e-21fd61e1e378,3,True
47737dda-2c2b-4704-b9fd-e5258184494c,2,False
d0d9b9ea-ede2-4488-a981-4df4663f3af5,2,False
8488cd18-44ce-404b-b13c-d86f549c2513,1,True
f5bedee8-a2a6-4556-9e68-38d490f6bc3c,1,True
8a04e71b-9e9b-491b-9568-6117e03c355c,1,True
d0ca5f24-b3d6-4f95-81ad-e1a7c3cb2773,1,False
fc36166a-ecc8-4791-9f5f-bb9dbdf94613,2,True
8b6101c3-12c8-43b3-85be-643f215a87ea,0,True
03504afc-8ee9-46be-b91b-e4ec38f06cbb,0,True
b8043cb9-9dcf-477a-81c3-6f2ee483d885,3,False
c9a0f932-cf4d-41da-a571-67117edb3b41,4,True
bfb42562-f401-4241-8a2c-ff5bef1c3404,11,False
4a2bd3c5-5fcb-404d-82c0-90971fb15f4c,1,True
c644ad16-e906-423e-957b-2f21e6196590,0,True
8cd02662-0569-454f-9238-5eea7b56c249,2,True
40144750-9ad7-49f6-9ccb-111237479016,1,True
139d538d-f52d-4087-86f4-484884d6a03a,1,True
497e0c92-57ef-4408-b2d4-4e601057f91c,0,True
9c9048d0-d87f-40e9-b630-f901c1c52dcc,1,True
183dc539-a46a-40b1-96f9-54c8ede4b2bf,1,True
1008798a-4525-49a0-940e-27d648e0f496,1,False
f68ea458-a006-4300-991f-94f55c7449b8,0,True
8433f18e-a94b-4588-84dd-7b3a97b39633,1,True
da705065-60e5-4bcd-bbb3-8075e18dbb18,1,True
04d51c78-0d5e-4c9f-9974-c0ad9d39557c,1,True
957e3c14-c75e-4c3b-9a29-5dec7eb9219e,0,True
8ebe20a6-2418-41f9-863d-3f9665812937,1,False
ff81d110-6b62-4236-9078-3b8d362d407a,1,True
3c45de52-c664-4602-a142-b25054f6e968,1,True
2add134e-4c33-45f7-bbc3-39638a95f904,0,True
23744f56-9381-4184-bfe9-7b138833bb56,0,True
a1f20f82-b16d-44c1-9f40-6d8796376b31,1,True
b1fba5da-e0b8-487c-83c8-dfd7bdf848c9,1,True
8a2fe402-c89b-4ac3-be68-3f5b3a4778a0,1,True
d72fe712-a2f7-4f39-93c5-632e247cf4c7,1,True
f2818057-f40d-44e6-b7d2-57daeeb7bb41,1,False
230ad876-0806-469b-937e-7e39495814f2,0,False
b105adb4-1bad-4918-8464-4fcaae2365e6,1,False
a506e192-ec67-4187-bb39-5f202519ed92,13,True
3d95377b-e445-4265-bca8-ace43e194696,4,True
ecf6402b-b679-462f-9818-3b8fc800369b,0,True
3d4274fb-7764-42b4-ba95-b0258e31bd22,1,False
cc1895a5-bd5d-4e1e-9517-9baf75ec3e41,1,True
fdffcc42-33d3-4b40-80f4-c59b0e12dba6,2,True
2d5686ce-99a4-4f96-872e-7ab6f1d0ec22,1,True
f64161a8-54b2-42a8-81ae-5b011ec8ef71,0,True
ea2d70ac-d4b7-4fe3-b46f-d3d809b58e13,5,False
959b9d06-0a8b-4780-a5bb-a9e65b878c67,0,True
ef1b6237-b9da-4979-abaf-0aa3fe5901f2,3,False
e11a1e79-1752-413d-a469-9287e3e00910,1,True
7da93479-e353-4e19-bc78-d2a52f6b8dec,5,False
